modality,model_name,split,residual_mechanism,recovery_route,n_errors,n_high_conf_errors,mean_confidence,mean_entropy,scenarios,confusion_pairs
depth,baseline_depth_goal,val,blocked_path_high_conf_direction_error,REPLAN,18,18,0.9755184383333333,0.1088357908646111,external_path_blockage,EAST->SOUTH|SOUTH->EAST|WEST->NORTH|WEST->SOUTH
scan,baseline_scan_goal,val,geometric_policy_residual,HUMAN_REVIEW,42,15,0.7917495238095239,0.4107404237904762,nominal,EAST->SOUTH|SOUTH->EAST|WEST->SOUTH
fusion,class_weighted_focal_scan_depth_goal,val,blocked_path_high_conf_direction_error,REPLAN,15,15,0.9327440533333333,0.2465574804,external_path_blockage,SOUTH->EAST|WEST->NORTH
depth,baseline_depth_goal,val,perception_axis_confusion,CAUTIOUS_REPLAN,46,14,0.7549933267391304,0.46864396612608694,perception_degradation,EAST->SOUTH|SOUTH->EAST
depth,baseline_depth_goal,val,geometric_policy_residual,HUMAN_REVIEW,43,14,0.753084136744186,0.4443356660448837,nominal,EAST->SOUTH|SOUTH->EAST|WEST->SOUTH
fusion,baseline_scan_depth_goal,val,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,11,9,0.934353320909091,0.12940365500254544,perception_degradation,NORTH->WEST|WEST->NORTH|WEST->SOUTH
scan,baseline_scan_goal,val,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,9,9,0.9898147277777779,0.03511382221333333,perception_degradation,NORTH->WEST|WEST->SOUTH
scan,class_weighted_focal_scan_goal,val,blocked_path_high_conf_direction_error,REPLAN,9,9,0.9296438633333334,0.2781535066666667,external_path_blockage,SOUTH->EAST|WEST->NORTH|WEST->SOUTH
scan,class_weighted_focal_scan_goal,val,geometric_policy_residual,HUMAN_REVIEW,61,8,0.6936479680327869,0.5801723285245901,nominal,EAST->SOUTH|SOUTH->EAST|WEST->SOUTH
depth,baseline_depth_goal,val,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,11,8,0.9243710445454546,0.1547577791009091,perception_degradation,NORTH->WEST|WEST->NORTH|WEST->SOUTH
fusion,class_weighted_focal_scan_depth_goal,val,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,14,6,0.7904296864285715,0.4565476371428572,perception_degradation,NORTH->WEST|WEST->NORTH|WEST->SOUTH
scan,class_weighted_focal_scan_goal,val,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,11,6,0.8416911590909091,0.38823351818181817,perception_degradation,NORTH->WEST|WEST->NORTH|WEST->SOUTH
scan,class_weighted_focal_scan_goal,val,perception_axis_confusion,CAUTIOUS_REPLAN,44,2,0.6754685302272727,0.6100296095454545,perception_degradation,EAST->SOUTH|SOUTH->EAST
fusion,class_weighted_focal_scan_depth_goal,val,perception_axis_confusion,CAUTIOUS_REPLAN,31,2,0.7476288148387097,0.5480197561290323,perception_degradation,EAST->SOUTH|SOUTH->EAST
fusion,baseline_scan_depth_goal,val,boundary_direction_confusion,CAUTIOUS_MODE,3,2,0.9435646866666666,0.18475112666666668,nominal,NORTH->WEST
scan,baseline_scan_goal,val,boundary_direction_confusion,CAUTIOUS_MODE,3,2,0.8466169833333334,0.3695435166666667,nominal,NORTH->WEST
fusion,class_weighted_focal_scan_depth_goal,val,geometric_policy_residual,HUMAN_REVIEW,59,1,0.7417458893220339,0.568524353220339,nominal,EAST->SOUTH|SOUTH->EAST|WEST->SOUTH
depth,baseline_depth_goal,val,boundary_direction_confusion,CAUTIOUS_MODE,3,1,0.8137506366666667,0.3724771496666666,nominal,NORTH->WEST
fusion,class_weighted_focal_scan_depth_goal,val,blocked_path_direction_error,REPLAN,86,0,0.7335200252325581,0.5824543447674418,external_path_blockage,EAST->SOUTH|SOUTH->EAST|SOUTH->NORTH|WEST->NORTH|WEST->SOUTH
scan,class_weighted_focal_scan_goal,val,blocked_path_direction_error,REPLAN,48,0,0.7000057925,0.5927304285416667,external_path_blockage,EAST->SOUTH|SOUTH->EAST|SOUTH->WEST|WEST->NORTH|WEST->SOUTH
fusion,baseline_scan_depth_goal,val,blocked_path_direction_error,REPLAN,37,0,0.5986334432432432,0.6477502578378379,external_path_blockage,EAST->SOUTH|SOUTH->EAST
depth,baseline_depth_goal,val,blocked_path_direction_error,REPLAN,27,0,0.7482717551851853,0.5378297655555555,external_path_blockage,EAST->SOUTH|SOUTH->EAST|WEST->NORTH
scan,baseline_scan_goal,val,blocked_path_direction_error,REPLAN,20,0,0.7121931994999999,0.573125672,external_path_blockage,EAST->SOUTH|NORTH->WEST|SOUTH->EAST|WEST->NORTH
fusion,class_weighted_focal_scan_depth_goal,val,boundary_direction_confusion,CAUTIOUS_MODE,4,0,0.6499919325,0.6480641275,nominal,NORTH->WEST|WEST->NORTH
scan,class_weighted_focal_scan_goal,val,boundary_direction_confusion,CAUTIOUS_MODE,4,0,0.6602784125,0.6341747875,nominal,NORTH->WEST|WEST->NORTH
